Gene	Level_1	Level_2	Level_3	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17
YKL068w	2	22	223	-0.79216	0.15118	-0.36887	0.14513	0.4112	0.93124	0.85263	2.70906	-0.22979	-1.05218	0.26002	-0.93124	-0.43539	0.2963	0.62889	-1.23964	-1.33639
YIL131c	5	52	521	-1.22318	-1.08276	-1.04766	0.12252	2.02992	2.24055	0.82463	0.23954	0.12252	-0.76681	-0.96574	-0.45086	0.18103	0.43847	0.07572	-0.14662	-0.59129
YDR451c	4	43	431	-1.34835	-0.55538	-0.69283	-0.33336	1.15741	2.17241	-0.07961	-0.40736	-0.7034	-1.18975	-0.73512	-0.3545	0.52304	1.84465	0.86137	0.06841	-0.22763
YOR073w	4	43	432	-1.18673	-1.58288	-0.90942	0.71483	1.47744	1.50715	0.44743	0.31867	-0.22604	-1.32538	-1.19663	-0.03787	0.8733	1.27936	0.42762	-0.28547	-0.29537
YMR215w	5	51	513	-1.04043	-1.07532	-1.06995	-0.34797	1.14432	1.47981	1.25167	-0.02052	-0.83376	-0.9277	-0.65662	-0.69688	0.06536	1.98976	0.69878	0.52164	-0.48217
YGL101w	1	14	141	-1.6338	-1.11162	-1.23864	-0.01079	0.11623	0.21502	1.03358	0.088	-0.33539	-1.36565	-0.68822	0.10211	0.77954	1.30173	1.76746	1.21705	-0.2366
YJR110w	1	11	117	-0.8756	-0.96054	-1.47016	0.35599	0.69573	2.2883	0.99301	0.65327	-0.11117	-1.74621	-0.23857	-0.51462	0.44092	0.54709	0.80191	-0.42968	-0.42968
YOL012c	2	25	251	-1.85783	-1.694	-1.3399	-0.25119	1.1599	0.3143	0.40943	-0.14021	-0.45731	-0.14549	-0.1772	0.47814	0.19803	1.27089	1.33431	1.41358	-0.51544
YBL032w	5	52	524	-1.42755	-0.89344	-1.21891	-0.80164	2.03577	0.29994	1.75203	0.83404	-0.21747	-0.50121	-1.04366	-0.43445	0.20814	0.60037	0.90081	0.29994	-0.39272
YDR324C	2	22	222	-2.00807	1.28729	-0.12622	-1.06289	-1.16507	1.03183	1.65344	0.29102	0.60608	-0.38168	-0.78189	-0.87556	-0.72228	0.53796	0.20587	0.89559	0.61459
YDR325W	4	43	431	-1.31705	0.26294	-0.52706	-0.12706	0.38294	1.66293	0.78294	-0.47706	-0.34706	-1.38705	-1.36705	-0.89705	-0.03706	1.66293	0.43294	1.55293	-0.25706
YKL052C	5	52	528	-1.20226	-1.13471	-0.12147	1.50935	2.08834	1.4804	0.92071	0.13907	-0.01533	-1.4242	-0.65222	-0.40132	-0.02498	0.22592	-0.17937	-0.35307	-0.85486
YKL069W	1	15	151	-0.60113	0.5793	-0.247	1.00089	2.02112	1.21168	0.23361	0.52028	-0.74447	-1.10703	-1.46959	-0.76976	-0.23013	1.00089	0.52871	-0.39877	-1.52861
